57,All,0,1,128,0,0,0,0,0,0,553,395,0,3,155,19,,,,6,0,6,,,,,,,,,,,38.25,14.55,23.7,,1.77,0.22
64,All,0,3,54,0,0,0,0,0,0,183,177,0,-4,10,3,,,,6,1,7,,,,,,,,,,,-331.75,-203.45,-128.3,,-2.56,-0.80
90,All,0,1,16,0,0,0,0,0,0,108,43,0,2,63,0,,,,1,0,1,,,,,,,,,,,-406.75,-337.45,-69.3,,0.77,2.95
121,All,0,61,185,0,0,0,0,0,0,974,850,0,26,98,44,,,,9,3,12,,,,,,,,,,,459.25,469.55,-10.3,,-0.80,-0.46
124,All,0,1,181,0,0,0,0,0,0,784,477,0,16,291,33,,,,9,0,9,,,,,,,,,,,269.25,96.55,172.7,,14.77,0.62
220,All,9,183,61,4,0,0,0,2,7,1024,667,-13,340,30,37,,0.44,0%,9,0,9,,,,,,,,,,,509.25,286.55,222.7,-2.71,0.63,-0.50
329,All,23,55,210,72,1,7,6,0,7,1196,833,17,-2,348,33,,3.13,30%,9,3,12,,,,,,,,,,,681.25,452.55,228.7,-0.53,-1.27,0.67
671,All,57,0,6,227,10,29,22,3,0,258,263,6,0,-11,14,,3.98,51%,5,4,9,,,,,,,,,,,-256.75,-117.45,-139.3,-1.16,,-2.82
777,All,26,2,55,99,8,10,4,0,0,332,337,-15,-8,18,27,,3.81,38%,4,5,9,,,,,,,,,,,-182.75,-43.45,-139.3,-1.85,-5.23,-0.66
911,All,0,0,44,0,0,0,0,0,0,174,212,0,0,-38,5,,,,7,2,9,,,,,,,,,,,-340.75,-168.45,-172.3,,,-1.85
927,All,29,4,62,143,8,19,12,3,0,404,322,43,0,39,24,,4.93,66%,7,4,11,,,,,,,,,,,-110.75,-58.45,-52.3,0.21,-1.23,-0.36
14,Brawl,18,3,25,33,2,4,3,4,0,134,186,-47,-16,11,12,,1.83,22%,0,5,5,,,,,,,,,,,-3.6,29.73333333,-33.33333333,-3.88,-6.56,-0.55
27,Brawl,0,0,27,0,0,0,0,0,0,94,139,0,0,-45,1,,,,0,4,4,,,,,,,,,,,-43.6,-17.26666667,-26.33333333,,,-2.66
77,Brawl,3,6,37,1,0,0,0,0,3,182,212,1,-53,22,8,,0.33,0%,0,2,2,,,,,,,,,,,44.4,55.73333333,-11.33333333,-0.94,-10.06,-0.39
79,Brawl,31,0,3,77,1,11,10,4,0,91,138,-61,0,14,4,,2.48,35%,0,5,5,,,,,,,,,,,-46.6,-18.26666667,-28.33333333,-3.24,,3.68
86,Brawl,3,34,51,2,0,0,0,0,3,356,363,2,-51,42,23,,0.67,0%,0,5,5,,,,,,,,,,,218.4,206.7333333,11.66666667,-0.60,-2.73,-0.17
97,Brawl,0,0,27,0,0,0,0,0,0,84,116,0,0,-32,1,,,,0,3,3,,,,,,,,,,,-53.6,-40.26666667,-13.33333333,,,-2.17
187,Brawl,0,0,18,0,0,0,0,0,0,62,51,0,0,11,2,,,,0,1,1,,,,,,,,,,,-75.6,-105.2666667,29.66666667,,,-0.38
369,Brawl,0,0,6,0,0,0,0,0,0,32,16,0,0,16,1,,,,0,1,1,,,,,,,,,,,-105.6,-140.2666667,34.66666667,,,1.68
404,Brawl,22,16,30,84,2,6,3,2,0,303,263,-88,0,128,13,,3.82,27%,0,4,4,,,,,,,,,,,165.4,106.7333333,58.66666667,-5.27,-1.23,3.28
454,Brawl,0,0,2,0,0,0,0,0,0,3,19,0,0,-16,0,,,,0,1,1,,,,,,,,,,,-134.6,-137.2666667,2.666666667,,,-8.99
548,Brawl,6,74,31,18,0,0,0,0,6,440,418,18,-45,49,1,,3.00,0%,0,5,5,,,,,,,,,,,302.4,261.7333333,40.66666667,1.73,-1.84,0.59
762,Brawl,0,0,12,0,0,0,0,0,0,15,54,0,0,-39,1,,,,0,1,1,,,,,,,,,,,-122.6,-102.2666667,-20.33333333,,,-4.24
815,Brawl,0,0,11,0,0,0,0,0,0,25,67,0,0,-42,1,,,,0,1,1,,,,,,,,,,,-112.6,-89.26666667,-23.33333333,,,-4.81
1130,Brawl,0,0,39,0,0,0,0,0,0,139,143,0,0,-4,4,,,,0,4,4,,,,,,,,,,,1.4,-13.26666667,14.66666667,,,-1.09
2586,Brawl,0,0,32,0,0,0,0,0,0,152,186,0,0,-34,14,,,,0,2,2,,,,,,,,,,,14.4,29.73333333,-15.33333333,,,-2.05
3019,Brawl,11,0,16,11,1,5,4,5,0,86,159,-37,0,-36,5,,1.00,45%,0,4,4,,,,,,,,,,,-51.6,2.733333333,-54.33333333,-4.63,,-3.24
